"Proj_Milestone_ID","Project_Code","Project_Name","Project_ID","Status_Date","Milestone_Phase","Planned_Date","Target_Date","Completion_Percentage","Status","RAG_Status","Actual_Start_Date","Actual_End_Date","Delayed","Updated_RAG_Status_After_Delay","Amber_To_Red_Status","Green_to_Amber_Status","Pred_Prob_for_Amber_to_Red_of_milestones","Pred_Prob_for_Green_to_Amber_of_milestones","Completed_Miltestones","In_Progress_Milestones","Not_Started_Milestones","Predicted_Percentage_of_Project_turns_Amber_to_Red_for_Project","Predicted_Probability_of_Project_turns_of_Green_to_Amber"
"1","PRJ3882","CORP - WEC Returns Automation For Home Depot","1","6/1/2023 0:00","Select Phase Start","Monday, March 07, 2022","Monday, March 07, 2022","100","Completed","4","Monday, March 07, 2022","Tuesday, March 15, 2022","8","4","0","0","0.014163588","0.006854209","7","3","3","8.45%","15.71%"
"2","PRJ3883","CORP - WEC Returns Automation For Home Depot","1","6/1/2023 0:00","Select Phase EndÂ ","Friday, April 01, 2022","Friday, April 01, 2022","100","Completed","4","Friday, April 01, 2022","Sunday, April 10, 2022","9","4","0","0","0.003470646","0.006854209","","","","",""
"3","PRJ3884","CORP - WEC Returns Automation For Home Depot","1","6/1/2023 0:00","Plan Phase StartÂ ","Monday, April 04, 2022","Monday, April 04, 2022","100","Completed","4","Monday, April 04, 2022","Monday, April 04, 2022","0","4","0","0","0.003470646","0.006854209","","","","",""
"4","PRJ3885","CORP - WEC Returns Automation For Home Depot","1","6/1/2023 0:00","Plan Phase EndÂ ","Friday, May 20, 2022","Friday, May 20, 2022","77","In Progress","3","Friday, May 20, 2022","Wednesday, May 25, 2022","5","2","0","1","0.01362197","0.965539038","","","","",""
"5","PRJ3886","CORP - WEC Returns Automation For Home Depot","1","6/1/2023 0:00","Design Phase Start","Monday, May 23, 2022","Monday, May 23, 2022","100","Completed","4","Monday, May 23, 2022","Wednesday, May 25, 2022","2","4","0","0","0.003470646","0.006854209","","","","",""
"6","PRJ3887","CORP - WEC Returns Automation For Home Depot","1","6/1/2023 0:00","Design Phase EndÂ ","Friday, June 10, 2022","Friday, June 10, 2022","100","Completed","4","Friday, June 10, 2022","Monday, June 13, 2022","3","4","0","0","0.003470646","0.006854209","","","","",""
"7","PRJ3888","CORP - WEC Returns Automation For Home Depot","1","6/1/2023 0:00","Build Phase Start","Monday, June 06, 2022","Monday, June 06, 2022","100","Completed","4","Monday, June 06, 2022","Thursday, June 16, 2022","10","4","0","0","0.003470646","0.006854209","","","","",""
"8","PRJ3889","CORP - WEC Returns Automation For Home Depot","1","6/1/2023 0:00","Build Phase EndÂ ","Friday, July 01, 2022","Friday, July 01, 2022","100","Completed","4","Friday, July 01, 2022","Saturday, July 02, 2022","1","4","0","0","0.004229326","0.006854209","","","","",""
"9","PRJ3890","CORP - WEC Returns Automation For Home Depot","1","6/1/2023 0:00","Stabilize Start","Monday, July 04, 2022","Wednesday, July 06, 2022","97","In Progress","3","Monday, July 04, 2022","Saturday, July 09, 2022","3","2","0","1","0.016562836","0.965539038","","","","",""
"10","PRJ3891","CORP - WEC Returns Automation For Home Depot","1","6/1/2023 0:00","Stabilize End","Friday, June 09, 2023","Friday, June 09, 2023","60","In Progress","2","Friday, June 09, 2023","Friday, June 16, 2023","7","1","1","0","0.950330615","0.006854209","","","","",""
